Date,TSLA,AAPL,AMZN,GOOGL,NFLX
6/30/2016,42.456001,23.9,715.619995,703.530029,91.480003
7/1/2016,43.299999,23.9725,725.679993,710.25,96.669998
7/5/2016,42.796001,23.747499,728.099976,704.890015,97.910004
7/6/2016,42.888,23.8825,737.609985,708.969971,94.599998
7/7/2016,43.188,23.985001,736.570007,707.26001,95.099998
7/8/2016,43.355999,24.17,745.809998,717.780029,97.059998
7/11/2016,44.956001,24.245001,753.780029,727.200012,94.669998
7/12/2016,44.93,24.355,748.210022,732.51001,95.970001
7/13/2016,44.506001,24.217501,742.630005,729.47998,96.43
7/14/2016,44.306,24.6975,741.200012,735.799988,98.019997
7/15/2016,44.080002,24.695,735.440002,735.630005,98.389999
7/18/2016,45.25,24.9575,736.070007,753.200012,98.809998
7/19/2016,45.051998,24.967501,739.950012,753.409973,85.839996
7/20/2016,45.672001,24.99,745.719971,757.080017,87.910004
7/21/2016,44.099998,24.8575,744.429993,754.409973,85.989998
7/22/2016,44.453999,24.665001,744.859985,759.280029,85.889999
7/25/2016,46.001999,24.334999,739.609985,757.52002,87.660004
7/26/2016,45.902,24.1675,735.590027,757.650024,91.410004
7/27/2016,45.698002,25.737499,736.669983,761.969971,92.040001
7/28/2016,46.122002,26.084999,752.609985,765.840027,91.650002
7/29/2016,46.958,26.0525,758.809998,791.340027,91.25
8/1/2016,46.001999,26.512501,767.73999,800.940002,94.370003
8/2/2016,45.439999,26.120001,760.580017,800.119995,93.559998
8/3/2016,45.158001,26.4475,754.640015,798.919983,93.099998
8/4/2016,46.122002,26.467501,760.77002,797.25,93.440002
8/5/2016,46.006001,26.870001,765.97998,806.929993,97.029999
8/8/2016,45.231998,27.092501,766.559998,805.22998,95.110001
8/9/2016,45.816002,27.202499,768.309998,807.47998,93.989998
8/10/2016,45.130001,27,768.559998,808.48999,93.93
8/11/2016,44.981998,26.9825,771.23999,808.200012,95.889999
8/12/2016,45.122002,27.045,772.559998,807.049988,96.589996
8/15/2016,45.118,27.370001,768.48999,805.960022,95.309998
8/16/2016,44.722,27.344999,764.039978,801.190002,95.120003
8/17/2016,44.647999,27.305,764.630005,805.419983,96.370003
8/18/2016,44.702,27.27,764.460022,802.75,96.160004
